"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.92334397846312,0.987012987012987,0.990131578947368,1,0.875,0.974358974358974,1
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.92334397846312,0.987012987012987,0.996710526315789,1,0.875,0.974358974358974,1
1,1,1,1,1,1,1
0.870571500132014,0.972972972972973,1,0.947368421052632,1,1,0.8
0.930320953232481,0.986666666666667,0.986842105263158,0.973684210526316,1,1,0.888888888888889
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
0.772328445721233,0.944444444444444,0.978618421052632,0.894736842105263,1,1,0.666666666666667
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
0.92334397846312,0.987012987012987,0.996710526315789,1,0.875,0.974358974358974,1
0.930320953232481,0.986666666666667,0.993421052631579,0.973684210526316,1,1,0.888888888888889
0.870571500132014,0.972972972972973,1,0.947368421052632,1,1,0.8
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
0.92334397846312,0.987012987012987,0.993421052631579,1,0.875,0.974358974358974,1
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.818447591071135,0.958904109589041,0.986842105263158,0.921052631578947,1,1,0.727272727272727
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
0.697368421052632,0.947368421052632,0.986842105263158,0.947368421052632,0.75,0.947368421052632,0.75
1,1,1,1,1,1,1
0.763667952112355,0.961038961038961,0.993421052631579,0.973684210526316,0.75,0.948717948717949,0.857142857142857
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.92334397846312,0.987012987012987,1,1,0.875,0.974358974358974,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.870571500132014,0.972972972972973,1,0.947368421052632,1,1,0.8
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
0.870571500132014,0.972972972972973,1,0.947368421052632,1,1,0.8
0.818447591071135,0.958904109589041,0.990131578947368,0.921052631578947,1,1,0.727272727272727
0.848684210526316,0.973684210526316,0.996710526315789,0.973684210526316,0.875,0.973684210526316,0.875
0.818447591071135,0.958904109589041,0.990131578947368,0.921052631578947,1,1,0.727272727272727
0.785744048338244,0.96,0.986842105263158,0.947368421052632,0.875,0.972972972972973,0.777777777777778
1,1,1,1,1,1,1
0.870571500132014,0.972972972972973,0.985197368421053,0.947368421052632,1,1,0.8
0.844097150806707,0.974358974358974,1,1,0.75,0.95,1
0.930320953232481,0.986666666666667,0.993421052631579,0.973684210526316,1,1,0.888888888888889
0.870571500132014,0.972972972972973,0.996710526315789,0.947368421052632,1,1,0.8
0.930320953232481,0.986666666666667,0.993421052631579,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,0.998355263157895,0.973684210526316,1,1,0.888888888888889
0.870571500132014,0.972972972972973,0.996710526315789,0.947368421052632,1,1,0.8
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.772328445721233,0.944444444444444,1,0.894736842105263,1,1,0.666666666666667
0.683988343966591,0.931506849315068,0.986842105263158,0.894736842105263,0.875,0.971428571428571,0.636363636363636
0.930320953232481,0.986666666666667,0.998355263157895,0.973684210526316,1,1,0.888888888888889
0.785744048338244,0.96,0.983552631578947,0.947368421052632,0.875,0.972972972972973,0.777777777777778
1,1,1,1,1,1,1
0.870571500132014,0.972972972972973,1,0.947368421052632,1,1,0.8
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,0.990131578947368,0.973684210526316,1,1,0.888888888888889
0.870571500132014,0.972972972972973,0.996710526315789,0.947368421052632,1,1,0.8
